index,artist_name,plays,artist_id
0,the beatles,382809,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
1,radiohead,330794,a74b1b7f-71a5-4011-9441-d0b5e4122711
2,linkin park,215559,f59c5520-5f46-4d2c-b2c4-822eabf53419
3,coldplay,205805,cc197bad-dc9c-440d-a5b5-d52ba2e14234
4,muse,186598,9c9f1380-2516-4fc9-a3e6-f9f61941d090
5,pink floyd,177729,83d91898-7763-47d7-b03b-b92132375c47
6,metallica,168052,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab
7,nine inch nails,167275,b7ffd2af-418f-4be2-bdd1-22f8b48613da
8,depeche mode,160579,8538e728-ca0b-4321-b7e5-cff6565dd4c0
9,christina aguilera,159190,b202beb7-99bd-47e7-8b72-195c8d72ebdd
10,lil wayne,153047,ac9a487a-d9d2-4f27-bb23-0f4686488345
11,system of a down,150268,cc0b7089-c08d-4c10-b6b0-873582c17fd6
12,red hot chili peppers,141215,8bfac288-ccc5-448d-9573-c33ea2aa5c30
13,placebo,129515,847e8284-8582-4b0e-9c26-b042a4f49e57
14,in flames,124663,31745282-b1ea-4d62-939f-226b14d68e7c
15,death cab for cutie,113418,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6
16,rammstein,111810,b2d122f9-eadb-4930-a196-8f221eeb0c66
17,rise against,111711,606bf117-494f-4864-891f-09d63ff6aa4b
18,bob dylan,107995,72c536dc-7137-4477-a521-567eeb840fa8
19,the killers,104821,95e1ead9-4d31-4808-a7ac-32c3614c116b
20,arctic monkeys,101290,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a
21,afi,101032,1c3919b2-43ca-4a4a-935d-9d50135ec0ef
22,nirvana,100157,85af0709-95db-4fbc-801a-120e9f4766d0
23,led zeppelin,99568,678d88b2-87b0-403b-b63d-5da7465aecc3
24,koЯn,95843,ac865b2e-bba8-4f5a-8756-dd40d5e39f46
25,garbage,94644,f9ef7a22-4262-4596-a2a8-1d19345b8e50
26,iron maiden,94469,ca891d65-d9b0-4258-89f7-e6ba29d83767
27,green day,92912,084308bd-1654-436f-ba03-df6697104e19
28,nightwish,92612,00a9f935-ba93-4fc8-a33a-993abe9c936b
29,the cure,92074,69ee3720-a7cb-4402-b48d-a02c366f2bcf
30,kanye west,89102,164f0d73-1234-4e2c-8743-d77bf2191051
31,the smashing pumpkins,88620,ba0d6274-db14-4ef5-b28d-657ebde1a396
32,david bowie,87648,5441c29d-3602-4898-b1a1-b77fa23b8e50
33,ac/dc,87195,66c662b6-6e2f-4930-8610-912e24c63ed1
34,queen,86085,0383dadf-2a4e-4d10-a46a-e9e041da8eb3
35,björk,85227,87c5dedd-371d-4a53-9f7f-80522fb7f3cb
36,daft punk,84589,056e4f3e-d505-4dad-8ec1-d04f521cbb56
37,jack johnson,83782,ff6e677f-91dd-4986-a174-8db0474b1799
38,sigur rós,81836,f6f2326f-6b25-4170-b89d-e235b25508e8
39,tom waits,81422,c3aeb863-7b26-4388-94e8-5a240f2be21b
40,u2,80867,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432
41,tool,78725,66fc5bf8-daa4-4241-b378-9bc9077939d2
42,böhse onkelz,77740,b3a70929-32bc-4ace-994f-434b26ce96fe
43,britney spears,76142,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76
44,elliott smith,74825,03ad1736-b7c9-412a-b442-82536d63a5c4
45,madonna,74305,79239441-bfd5-4981-a70c-55c3f15c1287
46,the prodigy,74079,4a4ee089-93b1-4470-af9a-6ff575d32704
47,oasis,73498,39ab1aed-75e0-4140-bd47-540276886b60
48,queens of the stone age,72775,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8
49,boards of canada,70625,69158f97-4c07-4c4e-baf8-4e4ab1ed666e
50,air,70123,cb67438a-7f50-4f2b-a6f1-2bb2729fd538
51,the rolling stones,68535,b071f9fa-14b0-4217-8e97-eb41da73f598
52,opeth,68419,c14b4180-dc87-481e-b17a-64e4150f90f6
53,bloc party,67001,8c538f11-c141-4588-8ecb-931083524186
54,blink-182,66585,0743b15a-3c32-48c8-ad58-cb325350befa
55,kings of leon,65965,6ffb8ea9-2370-44d8-b678-e9237bbd347b
56,mindless self indulgence,65520,44f42386-a733-4b51-8298-fe5c807d03aa
57,the smiths,65416,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27
58,johnny cash,65270,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86
59,sufjan stevens,64880,01d3c51b-9b98-418a-8d8e-37f6fab59d8c
60,belle and sebastian,64744,e5c7b94f-e264-473c-bb0f-37c85d4d5c70
61,foo fighters,64692,67f66c07-6e61-4026-ade5-7e782fad3a5d
62,r.e.m.,63713,ea4dfa26-f633-4da6-a52a-f49ea4897b58
63,modest mouse,63651,a96ac800-bfcb-412a-8a63-0a98df600700
64,slipknot,63443,a466c2a2-6517-42fb-a160-1087c3bafd9f
65,the white stripes,63383,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5
66,marilyn manson,63342,5dfdca28-9ddc-4853-933c-8bc97d87beec
67,the doors,63147,9efff43b-3b29-4082-824e-bc82f646f93d
68,the offspring,62284,23a03e33-a603-404e-bcbf-2c00159d7067
69,portishead,62055,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11
70,incubus,61700,e3e0abcd-7671-4482-a9d8-462f5acc9be5
71,dream theater,61004,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d
72,amy winehouse,60702,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3
73,bad religion,60497,149e6720-4e4a-41a4-afca-6d29083fc091
74,fall out boy,59262,516cef4d-0718-4007-9939-f9b38af3f784
75,michael jackson,59071,f27ec8db-af05-4f36-916e-3d57f91ecf5e
76,john mayer,58833,144ef525-85e9-40c3-8335-02c32d0861f3
77,massive attack,58779,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8
78,evanescence,57831,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9
79,bright eyes,57173,78f797e3-4913-4026-aad0-1cd858bd735b
80,sonic youth,56987,5cbef01b-cc35-4f52-af7b-d0df0c4f61b9
81,disturbed,56663,4bb4e4e4-5f66-4509-98af-62dbb90c45c5
82,beck,56563,309c62ba-7a22-4277-9f67-4a162526d18a
83,avril lavigne,56497,0103c1cc-4a09-4a5d-a344-56ad99a77193
84,pearl jam,56304,83b9cbe7-9857-49e2-ab8e-b57b01038103
85,a perfect circle,55208,078a9376-3c04-4280-b7d7-b20e158f345d
86,moby,54389,32a92586-6f9f-4882-b168-97fd60a99b6d
87,cat power,54105,05755bf1-380c-487f-983f-d1a02401fa28
88,lady gaga,54051,650e7db6-b795-4eb5-a702-5ea2fc46c848
89,the strokes,53757,f181961b-20f7-459e-89de-920ef03c7ed0
90,dropkick murphys,53730,e8374874-4178-4869-b92e-fef6bf30dc04
91,interpol,53446,b23e8a63-8f47-4882-b55b-df2c92ef400e
92,tori amos,53444,c0b2500e-0cef-4130-869d-732b23ed9df5
93,joy division,53180,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd
94,megadeth,52686,a9044915-8be3-4c7e-b11f-9e2d2ea0a91e
95,feist,52612,a670e05a-cea8-4b37-bce9-d82daf1a0fa4
96,bob marley,52336,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360
97,arcade fire,52041,52074ba6-e495-4ef3-9bb4-0703888a9f68
98,children of bodom,51162,f57e14e4-b030-467c-b202-539453f504ec
99,deftones,51150,7527f6c2-d762-4b88-b5e2-9244f1e34c46
100,him,50929,4cc51547-88ae-49a2-bf7e-0ef65ee7a94c
101,porcupine tree,50273,169c4c28-858e-497b-81a4-8bc15e0026ea
102,pixies,49960,b6b2bb8d-54a9-491f-9607-7b546023b433
103,my chemical romance,49915,c07f0676-9143-4217-8a9f-4c26bd636f13
104,rage against the machine,49531,3798b104-01cb-484c-a3b0-56adc6399b80
105,ramones,49441,d6ed7887-a401-47a8-893c-34b967444d26
106,paramore,49147,44cf61b8-5197-448a-b82b-cef6ee89fac5
107,aphex twin,49132,f22942a1-6f70-4f48-866e-238cb2308fbd
108,the kooks,48615,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e
109,snow patrol,48573,a66999a7-ae5c-460e-ba94-1a01143ae847
110,the clash,48269,8f92558c-2baa-4758-8c38-615519e9deda
111,gorillaz,48118,e21857d5-3256-4547-afb3-4b6ded592596
112,梶浦由記,47386,67e344da-ec54-4e26-b2a4-8351d744a14c
113,die Ärzte,46503,f2fb0ff0-5679-42ec-a55c-15109ce6e320
114,beirut,46076,0af78501-5647-4c18-9a0d-66ac8789e13b
115,alice in chains,45913,4bd95eea-b9f6-4d70-a36c-cfea77431553
116,the cardigans,45852,3e55d51d-687f-4a9d-af96-2fabccf802e5
117,kylie minogue,45659,2fddb92d-24b2-46a5-bf28-3aed46f4684c
118,the shins,45626,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18
119,nickelback,45175,bc710bcf-8815-42cf-bad2-3f1d12246aeb
120,sonata arctica,44567,319b1175-ced9-438f-986b-9239c3edd92d
121,new order,44261,f1106b17-dcbb-45f6-b938-199ccfab50cc
122,blind guardian,44102,7fa7fc04-1011-4876-8095-ecd232edea87
123,metric,43489,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b
124,killswitch engage,43239,8295ee00-0096-461d-95c7-c2263d2a4c6d
125,pj harvey,42905,e795e03d-b5d5-4a5f-834d-162cfb308a2c
126,eminem,42704,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
127,as i lay dying,42427,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
128,beastie boys,42290,9beb62b2-88db-4cea-801e-162cd344ee53
129,anathema,42007,20aa23e3-3532-42ca-acf6-e8c2e9df2688
130,mogwai,41961,d700b3f5-45af-4d02-95ed-57d301bda93e
131,animal collective,41934,0c751690-c784-4a4f-b1e4-c1de27d47581
132,franz ferdinand,41831,aa7a2827-f74b-473c-bd79-03d065835cf7
133,rancid,41600,24f8d8a5-269b-475c-a1cb-792990b0b2ee
134,nofx,41571,dcaa4f81-bfb7-44eb-8594-4e74f004b6e4
135,tegan and sara,41225,d13f0f47-36f9-4661-87fe-2de56f45c649
136,rihanna,41103,73e5e69d-3554-40d8-8516-00cb38737a1c
137,dark tranquillity,40943,9d30e408-1559-448b-b491-2f8de1583ccf
138,the national,40672,664c3e0e-42d8-48c1-b209-1efca19c0325
139,jay-z,40553,f82bcf78-5b69-4622-a5ef-73800768d9ac
140,infected mushroom,39772,eab76c9f-ff91-4431-b6dd-3b976c598020
141,lily allen,39609,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d
142,slayer,39237,bdacc37b-8633-4bf8-9dd5-4662ee651aec
143,[unknown],39228,125ec42a-7229-4250-afc5-e057484327fe
